name,rating,reviews,host_name,address,amenities,price,country,bathrooms,beds,guests,toiles,bedrooms,studios,checkin,checkout
"E1, Malee Highlands , Koh Lanta, Krabi",New,1,Maria,"ตำบล ศาลาด่าน, กระบี่, Thailand","Kitchen,Wifi,Free parking on premises,Pool,TV,Washing machine,Dryer,Air conditioning,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",3819, Thailand,2,3,6,0,2,0,15:00:00,11:00:00
Beach Cab A/C double room,5.0,3,BeachCab,"Arugam Bay, Eastern Province, Sri Lanka","Bay view,Canal view,Beach access,Kitchen,Wifi – 3 Mbps,Dedicated workspace,Free parking on premises,Pets allowed,Paid washer – In unit,Paid dryer – In building",1824, Sri Lanka,1,1,2,0,1,0,15:00:00,11:00:00
The Beach Condotel Kata 500 maters to Kata beach,New,1,Rangsima,"Tambon Karon, Chang Wat Phuket, Thailand","Wifi,Free parking on premises,Pool,TV,Air conditioning,Long-term stays allowed",1889, Thailand,1,1,2,0,1,0,14:00:00,12:00:00
Charming Patak Villa,4.94,34,Michael,"Tambon Karon, Chang Wat Phuket, Thailand","Courtyard view,Beach access,Kitchen,Wifi,Free parking on premises,Private pool,TV with standard cable/satellite,Washing machine,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",12090, Thailand,3,4,7,0,3,0,15:00:00,12:00:00
Kata Beach Bungalow 2 -  120 m to the Beach,4.5,34,David,"Mung Karon, Phuket, Thailand","Beach view,Wifi,Free parking on premises,Pool,Air conditioning,Patio or balcony,Garden,Luggage drop-off allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1270, Thailand,1,1,2,0,1,0,14:00:00,11:00:00
Kata Beach Luxury Seaview Apartment,4.56,43,David,"Karon, Phuket, Thailand","Kitchen,Wifi,Free parking on premises,Pool,TV with standard cable/satellite,Air conditioning,Patio or balcony,Luggage drop-off allowed,Cot,High chair",9155, Thailand,3,3,6,0,2,0,12:00:00,12:00:00
"""Coastline bungalows""peaceful and relaxing",4.75,8,Jamie,"Tambon Karon, Chang Wat Phuket, Thailand","Wifi,Air conditioning,Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",881, Thailand,1,1,2,0,1,0,15:00:00,12:00:00
Deluxe Double Room with Balcony and Side Sea View,New,2,Beach Wave,"Arugam Bay, Eastern Province, Sri Lanka","Garden view,Beach access – Beachfront,Kitchen,Wifi,Free parking on premises,Pets allowed,Air conditioning,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4925, Sri Lanka,1,1,2,0,1,0,13:00:00,12:00:00
LUXURY SEAVIEW 2BR APARTMENT IN KATA BEACH,New,0,Jean-Michel,"Tambon Karon, Chang Wat Phuket, Thailand","Sea view,Public or shared beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Shared outdoor pool – available all year, open specific hours,TV,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",7367, Thailand,2,2,4,0,2,0,14:00:00,11:00:00
La Xenia Kata Beach Hotel R206,New,1,La Xenia Kata,"Tambon Karon, Chang Wat Phuket, Thailand","City skyline view,Beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Shared pool,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1589, Thailand,1,1,2,0,1,0,14:00:00,12:00:00
Lovely apartment with a pool.,New,1,Jongkoch,"Tambon Karon, Chang Wat Phuket, Thailand","Mountain view,Public or shared beach access,Kitchen,Dedicated workspace,Free parking on premises,Shared outdoor pool – available all year, open specific hours, lap pool,TV,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1709, Thailand,1,1,2,0,1,0,12:00:00,12:00:00
Jazz Pool Access Doubled Bed Room Only #1,4.83,12,Gam&Gail,"Tambon Karon, Chang Wat Phuket, Thailand","Wifi,Free parking on premises,Pool,TV with standard cable/satellite,Lift,Air conditioning,Hair dryer,Refrigerator,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",1766, Thailand,1,1,2,0,1,0,14:00:00,12:00:00
Clean and Comfortable Pool View Nice Room Balcony,New,1,Suchart,"Tambon Karon, Chang Wat Phuket, Thailand","Wifi,Free parking on premises,Pool,TV,Lift,Air conditioning,Luggage drop-off allowed,Gym,Smoking allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",1435, Thailand,1,2,2,0,1,0,14:00:00,12:00:00
Deluxe RO,New,1,Suchart,"Tambon Karon, Chang Wat Phuket, Thailand","Wifi,Free parking on premises,Pool,TV with standard cable/satellite,Lift,Air conditioning,Indoor fireplace,Luggage drop-off allowed,Shared gym in building,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",1655, Thailand,1,2,2,0,1,0,14:00:00,12:00:00
★ Great room 5 minutes walk from the beach ★,New,1,Olga,"Tambon Karon, Chang Wat Phuket, Thailand","Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV,Air conditioning,Patio or balcony,Luggage drop-off allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",791, Thailand,1,1,2,0,0,1,12:00:00,12:00:00
OceanView penthouse 5 min walk to beach & shops!,4.8,244,Zen,"Karon, Phuket, Thailand","Sea view,Ocean view,Public or shared beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,TV,Air conditioning",20747, Thailand,3,5,6,0,3,0,15:00:00,11:00:00
3 Br Penthouse Luxury Seaview Sunset,5.0,9,Jirayus,"Tambon Karon, Phuket, Thailand","Sea view,Beach access,Kitchen,Fast wifi – 417 Mbps,Free parking on premises,Shared pool,50"" HDTV,AC – split-type ductless system,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",15096, Thailand,3,4,6,0,3,0,14:00:00,12:00:00
tropical dream house · Beautiful peaceful 3 bedrooms pool villa at rawai,New,2,Pierre,"Tambon Rawai, Chang Wat Phuket, Thailand","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private outdoor pool – available all year, open 24 hours, saltwater,Pets allowed,55"" HDTV with cable/satellite TV,Washing machine,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",8961, Thailand,3,3,6,0,3,0,15:00:00,12:00:00
Twin Villas Seaview Kata Two,4.97,34,Panjai,"Tambon Karon, Chang Wat Phuket, Thailand","Mountain view,Ocean view,Beach access,Kitchen,Wifi,Free parking on premises,Pool,55"" HDTV with Netflix,Free washer – In unit,Security cameras on property",8132, Thailand,2,2,5,0,2,0,15:00:00,11:00:00
Upscale Apartment Kata&Karon beach,4.76,59,Jakkarin,"Tambon Karon, Chang Wat Phuket, Thailand","Mountain view,Kitchen,Wifi,Free parking on premises,Pool,TV,Lift,Washing machine,Air conditioning,Luggage drop-off allowed",4002, Thailand,1,1,2,0,1,0,14:00:00,12:00:00
Luxury villa in patong,4.91,11,Nicolas,"Patong, Chang Wat Phuket, Thailand","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Private hot tub – available all year, open 24 hours,TV,Free washer – In unit,Free dryer – In unit,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",8815, Thailand,3,3,6,0,3,0,15:00:00,12:00:00
"SUNSTONE VILLA: 8 B/rms, Pool, Nr Beach, Sleeps 19",4.74,65,Tracey,"Rawai, Phuket, Thailand","Kitchen,Wifi,Free parking on premises,Pool,TV with standard cable/satellite,Washing machine,Dryer,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",36207, Thailand,7,11,16,0,8,0,15:00:00,12:00:00
3 Br Penthouse Luxury Seaview Sunset,New,2,Jirayus,"Tambon Karon, Phuket, Thailand","Sea view,Public or shared beach access,Kitchen,Fast wifi – 454 Mbps,Free parking on premises,Shared outdoor pool – available all year, open 24 hours, saltwater,50"" HDTV,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",18661, Thailand,3,4,6,0,3,0,14:00:00,12:00:00
"JADE VILLA: 7 B/rooms, Pool, Near Beach, Sleeps 19",4.56,32,Tracey,"Rawai, Phuket, Thailand","Kitchen,Wifi,Free parking on premises,Pool,TV with standard cable/satellite,Washing machine,Dryer,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",54425, Thailand,7,14,16,0,7,0,15:00:00,12:00:00
Cozy 1 Bed Apartment at Karon Beach,5.0,3,Ann,"Tambon Karon, Chang Wat Phuket, Thailand","Kitchen,Fast wifi – 67 Mbps,Dedicated workspace,Free parking on premises,Pool,TV,Lift,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1569, Thailand,1,1,3,0,1,0,13:00:00,11:00:00
Charming Room only 300 maters to Kata Beach,4.83,6,Khun Krittin,"Muang, Phuket, Thailand","Wifi,Dedicated workspace,Free parking on premises,TV,Lift,Air conditioning,Smoking allowed,Long-term stays allowed",1222, Thailand,1,1,2,0,1,0,14:00:00,12:00:00
Mountain & Seaview Pool Villa with 5 Bedroom,New,1,Thanyakan,"Tambon Chalong, Chang Wat Phuket, Thailand","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,Pets allowed,TV,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",14860, Thailand,5,6,10,0,5,0,15:00:00,12:00:00
沙滩上的公寓,New,2,Patong,"Tambon Patong, Chang Wat Phuket, Thailand","Bay view,Beach view,Wifi,Dedicated workspace,Free parking on premises,TV,Air conditioning,Garden,Hair dryer,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",6171, Thailand,1,1,2,0,1,0,14:00:00,12:00:00
Apartment near Kata Beach with Swimming pool,4.66,62,Indrek,"Tambon Karon, Chang Wat Phuket, Thailand","Kitchen,Wifi,Free on-street parking,Shared pool,TV with standard cable/satellite,Lift,Air conditioning,Luggage drop-off allowed,Travel cot,Children’s books and toys",2635, Thailand,1,1,3,0,0,1,16:00:00,12:00:00
Kata Beach Bungalow (1) 120 m to the Beach,4.71,31,David,"Tambon Karon, Chang Wat Phuket, Thailand","Wifi,Free parking on premises,Pool,Air conditioning,Patio or balcony,Garden,Luggage drop-off allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1270, Thailand,1,1,2,0,1,0,13:00:00,11:00:00
"The View Phuket, Kata Beach, stunning seaviews.",5.0,4,Marc,"Tambon Karon, Chang Wat Phuket, Thailand","Sea view,Public or shared beach access,Kitchen,Fast wifi – 321 Mbps,Dedicated workspace,Free parking on premises – 16 spaces,Shared outdoor pool,Private hot tub,Shared sauna,Security cameras on property",10061, Thailand,2,2,4,0,2,0,15:00:00,12:00:00
La Xenia Kata Beach Hotel R303,New,1,La Xenia Kata,"Tambon Karon, Chang Wat Phuket, Thailand","Mountain view,Beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Shared pool,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1589, Thailand,1,2,2,0,1,0,14:00:00,12:00:00
Apartments on Nai Harn,5.0,4,Вера,"Tambon Rawai, Chang Wat Phuket, Thailand","Beach access – Beachfront,Kitchen,Wifi,Free parking on premises,Pool,Shared hot tub,TV,Lift,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",5312, Thailand,1,2,3,0,1,0,14:00:00,12:00:00
Patong Tower Suite,5.0,6,Karan,"Tambon Patong, PU, Thailand","Beach access – Beachfront,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,TV,Lift,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",5597, Thailand,1,1,2,0,1,0,15:00:00,12:00:00
Shanti Phuket. Urban Farm & Resort.  Kitchen Room,New,2,Kim,"Phuket, Thailand","Kitchen,Wifi,Free parking on premises,Pool,TV with standard cable/satellite,Air conditioning,Patio or balcony,Luggage drop-off allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",2105, Thailand,1,1,2,0,1,0,12:00:00,12:00:00
The Windy studio on Nai Harn beach 800m А-211,5.0,3,Eva,"Tambon Rawai, Chang Wat Phuket, Thailand","Garden view,Public or shared beach access,Kitchen,Fast wifi – 56 Mbps,Dedicated workspace,Free parking on premises,Shared outdoor pool – available all year, open specific hours, infinity, rooftop,HDTV,Lift,Free washer – In unit",2019, Thailand,1,2,4,0,1,0,14:00:00,12:00:00
Paradise Lake Resort Villa 5,New,0,Gengis Charles,"Tambon Rawai, Chang Wat Phuket, Thailand","Lake view,Public or shared beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool – available all year, open 24 hours, infinity,52"" HDTV,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",3284, Thailand,1,2,4,0,2,0,15:00:00,10:00:00
Heavenly Villa 8 Bedrooms,New,1,Nam,"Tambon Patong, Chang Wat Phuket, Thailand","Bay view,Garden view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,TV,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",32003, Thailand,9,11,16,0,8,0,14:00:00,12:00:00
"Fantastic Executive Condo in Karon Beach, Phuket",4.84,106,Pete,"Tambon Karon, Chang Wat Phuket, Thailand","Mountain view,Beach access,Kitchen,Wifi,Free parking on premises,Shared pool,65"" HDTV with standard cable/satellite,Lift,Free washer – In unit,AC – split-type ductless system",12254, Thailand,2,3,4,0,2,0,15:00:00,11:00:00
6 Bedroom Luxury Villa - Sleeps 16+ Nai Harn Beach,4.92,76,John,"Tambon Rawai, Chang Wat Phuket, Thailand","Kitchen,Wifi,Free parking on premises,Private pool,TV with standard cable/satellite,Washing machine,Air conditioning,Bath,Private backyard – Fully fenced,Luggage drop-off allowed",46043, Thailand,6,11,16,0,6,0,15:00:00,12:00:00
Villa Enjoy - New Modern Villa in Patong,5.0,25,Jon,"Tambon Patong, Chang Wat Phuket, Thailand","City skyline view,Ocean view,Beach access,Kitchen,Wifi – 41 Mbps,Free parking on premises,Private pool,85"" HDTV with Netflix,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",88661, Thailand,6,6,12,0,5,0,15:00:00,12:00:00
Villa Elima. Lovely pool villa 2 bedrooms at Rawai,New,1,Pierre,"Tambon Rawai, Chang Wat Phuket, Thailand","Kitchen,Wifi,Free parking on premises,Private outdoor pool – available all year, open 24 hours, saltwater,Pets allowed,55"" HDTV,Washing machine,Central air conditioning,Luggage drop-off allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",20482, Thailand,2,2,4,0,2,0,15:00:00,12:00:00
Sea & Sky Condominiums,New,2,Svetlana,"Tambon Karon, Chang Wat Phuket, Thailand","Kitchen,Wifi,Free parking on premises,Shared pool,Shared hot tub,TV,Washing machine,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",5095, Thailand,2,2,4,0,2,0,12:00:00,12:00:00
"PRIVATE POOL VILLA PATONG, 3 bedrooms - Beach 2 km",4.56,107,Marco Paul,"Tambon Patong, Chang Wat Phuket, Thailand","Kitchen,Wifi,Free parking on premises,Private pool,Hot tub,TV,Washing machine,Dryer,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",12749, Thailand,3,6,6,0,3,0,14:00:00,12:00:00
4 Bedroom Luxury Private Pool Villa & Private Maid,4.86,115,John,"Rawai, Phuket, Thailand","Kitchen,Wifi,Free parking on premises,Private pool,TV,Washing machine,Dryer,Air conditioning,Bath,Private patio or balcony",12849, Thailand,4,5,8,0,4,0,14:00:00,11:00:00
Karon Sea view 2 bedroom,New,0,Larisa,"Karon,Muang, Chang Wat Phuket, Thailand","Bay view,City skyline view,Beach access,Kitchen,Wifi,Free parking on premises,Shared pool,34"" TV with standard cable/satellite,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",3878, Thailand,2,2,4,0,2,0,15:00:00,12:00:00
Sha +/ Phuket/Oceanfront/Kata/Patong/Karon/beach,4.94,100,Peter,"Tambon Karon, Chang Wat Phuket, Thailand","Beach access – Beachfront,Kitchen,Wifi,Free parking on premises,Shared pool,Hot tub,TV with standard cable/satellite,Air conditioning,Bath,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",25262, Thailand,2,3,6,0,2,0,12:00:00,12:00:00
Comfortable 3-bedroom villa with private pool,New,1,Viacheslav,"Tambon Rawai, Chang Wat Phuket, Thailand","Kitchen,Fast wifi – 483 Mbps,Dedicated workspace,Free parking on premises,Private pool,Pets allowed,60"" HDTV,Free washer – In unit,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",5126, Thailand,3,3,6,0,3,0,12:00:00,12:00:00
"MOONSTONE: 6 Bdrms, Pool, Nr Beach, Sleeps 14",4.78,59,Tracey,"Rawai, Phuket, Thailand","Kitchen,Wifi,Free parking on premises,Pool,TV with standard cable/satellite,Washing machine,Dryer,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",36139, Thailand,5,10,14,0,6,0,15:00:00,12:00:00
2bedroom partial sea view pool view phuket karon,New,2,Hassen,"Tambon Karon, Chang Wat Phuket, Thailand","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Shared pool,TV,Air conditioning,Cot,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",10703, Thailand,1,2,4,0,2,0,12:00:00,12:00:00
Beach Villa - 800sqm 4BR up to 12Pax,5.0,3,Pari,"Phuket, Thailand","Beach access – Beachfront,Kitchen,Fast wifi – 206 Mbps,Dedicated workspace,Free parking on premises,Private pool,Private hot tub,Pets allowed,TV with standard cable/satellite,Security cameras on property",37991, Thailand,4,6,12,0,4,0,12:00:00,12:00:00
Penthouse 250m2 - stunning sea view,4.7,49,Henrik,"Karon, Phuket, Thailand","Bay view,Canal view,Beach access – Beachfront,Kitchen,Fast wifi – 82 Mbps,Dedicated workspace,Free parking on premises,Shared pool – available all year, open 24 hours,Private hot tub – available all year, open 24 hours,50"" HDTV with standard cable/satellite, Netflix",16415, Thailand,3,4,8,0,4,0,16:00:00,12:00:00
Unique and STYLISH 3BR Townhouse by GoldStar Group,New,2,GoldStar Group,"Tambon Chalong, Chang Wat Phuket, Thailand","Public or shared beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,TV with Netflix, standard cable/satellite,Free washer – In unit,Free dryer,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",10578, Thailand,3,4,8,0,3,0,15:00:00,12:00:00
Karon Sea View Beach Apartment,4.95,21,E.J,"Tambon Karon, Chang Wat Phuket, Thailand","Beach access – Beachfront,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,Shared hot tub,55"" HDTV with Amazon Prime Video, Apple TV, Chromecast, Netflix,Central air conditioning,Security cameras on property",13934, Thailand,2,3,5,0,2,0,14:00:00,11:00:00
3 bedroom villa with private pool,New,1,Ere,"Tambon Rawai, Chang Wat Phuket, Thailand","Kitchen,Wifi,Free parking on premises,Private outdoor pool,TV,Free washer – In unit,Air conditioning,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",5855, Thailand,3,3,6,0,3,0,14:00:00,12:00:00
CAT STORY HOTEL,4.86,58,Zisong,"Tambon Patong, Chang Wat Phuket, Thailand","Beach access – Beachfront,Fast wifi – 186 Mbps,Free parking on premises,Pets allowed,TV,Lift,Free washer – In unit,Air conditioning,Patio or balcony,Luggage drop-off allowed",1146, Thailand,1,1,2,0,1,0,14:00:00,12:00:00
Tira Pool Villa @Chalong 3 beds,New,0,Hathairat,"Tambon Chalong, Chang Wat Phuket, Thailand","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Shared pool,TV with standard cable/satellite,Washing machine,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",9823, Thailand,4,3,6,0,3,0,14:00:00,12:00:00
PATONG TOWER FULL SEA VIEW,4.7,80,Bb,"Patong, Phuket, Thailand","Bay view,Ocean view,Beach access – Beachfront,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Shared pool,75"" HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Fire TV, HBO Max, Netflix, cable/satellite TV, standard cable/satellite,Lift",11658, Thailand,2,3,5,0,2,0,14:00:00,12:00:00
Luxury Sea view apartment Phuket,4.76,70,Franck,"Tambon Karon, Chang Wat Phuket, Thailand","Public or shared beach access – Beachfront,Kitchen,Wifi,Free parking on premises,Shared pool,40"" HDTV with standard cable/satellite,Central air conditioning,Private patio or balcony,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4711, Thailand,2,2,4,0,2,0,14:00:00,12:00:00
2 bedroom multi-level villa in Patong,New,1,Dimitris,"Patong, Phuket, Thailand","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,TV,Air conditioning,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",17643, Thailand,2,2,4,0,2,0,15:00:00,12:00:00
Sea View One Bedroom Condo in Kata Beach,4.78,32,Amanda,"Tambon Karon, Chang Wat Phuket, Thailand","Sea view,Public or shared beach access,Kitchen,Wifi,Free parking on premises,Shared pool,Shared sauna,TV with standard cable/satellite,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",1586, Thailand,1,1,3,0,1,0,12:00:00,12:00:00
5 Ivory Villa -special- sleeps 20 -Nai Harn Beach,4.72,25,David,"Tambon Rawai, Chang Wat Phuket, Thailand","Kitchen,Wifi,Free parking on premises,Private pool,TV with standard cable/satellite,Washing machine,Dryer,Air conditioning,Private patio or balcony,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",45603, Thailand,7,15,16,0,7,0,14:00:00,12:00:00
Rawai beachfront 2bedroom with Direct pool Access,New,0,Sean,"Tambon Rawai, Chang Wat Phuket, Thailand","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,Hot tub,TV,Air conditioning,Long-term stays allowed",4446, Thailand,2,3,5,0,2,0,10:00:00,14:00:00
Cozy Loft Studio at Nai Harn Beach B227,4.67,9,Iuliia,"Rawai, Phuket, Thailand","Beach access,Kitchen,Wifi,Free parking on premises,Shared pool,TV,Lift,Washing machine,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",4198, Thailand,1,2,3,0,1,0,14:00:00,12:00:00
2BR - 180 Panorama Seaview in popular Karon Beach,4.6,25,Resava,"Tambon Karon, Chang Wat Phuket, Thailand","Kitchen,Wifi,Free parking on premises,Pool,Hot tub,TV,Lift,Washing machine,Air conditioning,Patio or balcony",17228, Thailand,2,2,6,0,2,0,15:00:00,12:00:00
Luxury pool villa in Rawai,4.91,35,Evelina,"Rawai, Phuket, Thailand","Kitchen,Wifi,Free parking on premises,Private pool,TV with standard cable/satellite,Washing machine,Air conditioning,Private patio or balcony,Garden,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",12031, Thailand,2,5,5,0,3,0,15:00:00,10:00:00
Charming Two Bedroom Villa ( Newly Renovated ),5.0,3,Rene,"Tambon Rawai, Chang Wat Phuket, Thailand","Beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV,Air conditioning,Private patio or balcony,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",2563, Thailand,1,2,4,0,2,0,12:00:00,12:00:00
GARDEN VIEW TWO BEDROOM KARON BEACH,4.83,6,Maria Redfox,"Tambon Karon, Amphoe Mueang Phuket, Thailand","Courtyard view,Garden view,Kitchen,Wifi,Free parking on premises,Shared outdoor pool – available all year, open specific hours,HDTV,Lift,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",6047, Thailand,2,2,4,0,2,0,14:00:00,12:00:00
Luxury 3 Bedroom Apartment 300 Sqm,4.71,47,Urban,"Mueang Phuket, Phuket, Thailand","Kitchen,Wifi,Free parking on premises,Pool,TV with standard cable/satellite,Washing machine,Dryer,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",9100, Thailand,3,3,6,0,3,0,13:00:00,11:00:00
Holiday House Near Naiharn Beach,New,2,Bruno,"Rawai, Phuket, Thailand","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Shared outdoor pool,TV,Air conditioning,Cot,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",2847, Thailand,2,2,4,0,2,0,15:00:00,11:00:00
"Villa Aukake · Beautiful pool villa, 3 bedrooms, in Rawai.",New,2,Pierre,"Tambon Rawai, Chang Wat Phuket, Thailand","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private outdoor pool – available all year, open 24 hours, saltwater,Pets allowed,55"" HDTV with cable/satellite TV,Free washer – In unit,Central air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",12801, Thailand,3,3,6,0,3,0,15:00:00,12:00:00
PATONG TOWER SEA VIEW 3 BEDROOMS JACUZZI,4.95,21,Bb,"Phuket, Thailand","Bay view,Garden view,Beach access – Beachfront,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Shared pool,Private hot tub,55"" HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Netflix, cable/satellite TV, standard cable/satellite",16371, Thailand,1,3,6,0,3,0,12:00:00,12:00:00
New Comfort Apartment near Nai Harn Beach,5.0,3,Murad,"Tambon Rawai, Chang Wat Phuket, Thailand","Garden view,Mountain view,Kitchen,Wifi,Free parking on premises,Shared pool,TV,Washing machine,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",2912, Thailand,1,1,2,0,1,0,14:00:00,12:00:00
BOUTIQUE STUDIO HOTEL - THALASSA - 3,4.57,31,Jacques,"Tambon Rawai, Phuket, Thailand","Waterfront,Kitchen,Wifi,Free on-street parking,Pool,TV with standard cable/satellite,Air conditioning,Private patio or balcony,Garden,Security cameras on property",1637, Thailand,1,1,2,0,0,1,14:00:00,12:00:00
Amintra 5 Pool Villa,4.89,20,Nick,"Ko Lanta, Thailand","Kitchen,Wifi,Free parking on premises,Pool,TV,Washing machine,Air conditioning,Patio or balcony,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",6641, Thailand,3,3,6,0,3,0,15:00:00,11:00:00
"Sea view studio at Twin Sands, near Tri Tang beach",New,0,Lofty,"ตำบลป่าตอง, ภูเก็ต, Thailand","Mountain view,Ocean view,Kitchen,Wifi,Free parking on premises,Shared pool,TV,Lift,EV charger,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",2902, Thailand,1,1,2,0,0,1,15:00:00,11:00:00
2-level with poos access apartment in Karon,New,1,Natalia,"Tambon Karon, Chang Wat Phuket, Thailand","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,Pets allowed,TV,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",2594, Thailand,1,1,2,0,1,0,12:00:00,00:00:00
